# nom,adresse,baserow_row_id
Py-r,"19 descente de la Halle aux Poissons Toulouse",10
Stephane Tournie,"1 place du Capitole Toulouse",11
Lambinon,"Rue des Filatiers Toulouse",12
Cave a manger N5,"5 Rue de la Pomme Toulouse",13
Bibendum,"Place du Capitole Toulouse",14
Cantine de l Opera,"Place du Capitole Toulouse",15
Solides,"Rue de la Pomme Toulouse",16
Cafe Le Bibent,"Place du Capitole Toulouse",17
El Bocadillo,"Rue Pargaminieres Toulouse",18
Brasserie des Beaux-Arts,"Rue des Beaux-Arts Toulouse",19
Marche Victor Hugo,"Place Victor Hugo Toulouse",20
Marche Saint-Aubin,"Allees Charles de Fitte Toulouse",21
Les Abattoirs,"76 Allees Charles de Fitte Toulouse",22
Fondation Bemberg,"Place d Assezat Toulouse",23
Musee des Augustins,"22 Rue de Metz Toulouse",24
Aeroscopia,"Avenue Francis Crick Blagnac",25
Cite de l Espace,"Avenue Jean Baylet Toulouse",26
L Envol des Pionniers,"1 Rue de Montaudran Toulouse",27
Basilique Saint-Sernin,"Place Saint-Sernin Toulouse",28
Couvent des Jacobins,"Place des Jacobins Toulouse",29
Pont-Neuf,"Pont-Neuf Toulouse",30
Halle aux Grains,"Place de la Trinite Toulouse",31
Theatre du Capitole,"Place du Capitole Toulouse",32
Stade Ernest-Wallon,"Route de Muret Toulouse",33
Berges de la Garonne,"Quai de la Daurade Toulouse",34
Canal du Midi,"Canal du Midi Toulouse",35
Passerelle de la Daurade,"Passerelle de la Daurade Toulouse",36
